/*********************************************
 * OPL 12.6.0.0 Data
 * Author: Charlie Brown
 * Creation Date: 10 janv. 2016 at 19:14:48
 *********************************************/

 T = 14; //nombre de périodes
 n = 11; //nombre de chauffeurs
 m = 3; //nombre de lignes de bus
 
 
 z = [
 	[0,1,0],
 	[1,0,0],
 	[1,0,0],
 	[0,1,1],
 	[1,1,0],
 	[0,1,1],
 	[0,1,0],
 	[0,1,1],
 	[0,1,0],
 	[0,0,1],
 	[1,0,0],
 	];//lignes par conducteur
 

d = [
	[0,0,1,1,0,0,0, 0,0,1,1,0,0,0],
	[0,0,0,1,1,0,0, 0,0,0,1,1,0,0],
	[0,0,0,0,1,1,0, 0,0,0,0,1,1,0],
	[0,0,0,0,0,1,1, 0,0,0,0,0,1,1]
	[1,0,0,0,0,0,1, 1,0,0,0,0,0,1]
	[1,1,0,0,0,0,0, 1,1,0,0,0,0,0]
	[0,1,1,0,0,0,0, 0,1,1,0,0,0,0]
	[0,0,1,1,0,0,0, 0,0,1,1,0,0,0]
	[0,0,0,1,1,0,0, 0,0,0,1,1,0,0]
	[0,0,0,0,1,1,0, 0,0,0,0,1,1,0]
	[0,0,0,0,0,1,1, 0,0,0,0,0,1,1]
	]; //day offs


pd = [
	[0,0,0,0,0,0,0, 1,0,0,0,0,0,1],
	[0,0,0,0,0,0,1, 1,0,0,0,0,0,0],
	[1,0,0,0,0,0,0, 0,0,1,0,0,0,0],
	[0,0,1,1,0,0,0, 0,0,0,1,0,0,0],
	[0,0,0,0,0,0,0, 0,0,1,1,0,0,0],
	[0,0,0,0,0,1,0, 0,0,0,0,1,0,0],
	[0,0,0,0,1,1,0, 0,0,0,0,0,0,1],
	[1,0,0,0,0,1,1, 0,0,0,0,0,0,0],
	[0,0,0,0,0,0,0, 0,0,0,0,0,0,1],
	[1,0,0,0,0,0,0, 1,1,0,0,0,0,0],
	[0,0,1,0,0,0,0, 0,1,0,0,0,0,0]
	
	];//preferences congés 	
 	
 	
 	
 pm = [
 	[0,0,0,0,0,0,0, 0,1,0,1,1,0,0],
 	[0,0,0,0,0,1,0, 0,0,0,0,0,0,0],
 	[0,0,0,0,0,0,0, 1,0,0,0,0,0,0],
 	[0,0,0,0,0,0,0, 1,0,1,0,0,0,0],
 	[0,0,0,0,0,0,0, 0,0,0,0,1,1,0],
 	[0,0,0,0,1,0,0, 0,0,0,0,0,0,0],
 	[1,0,0,0,0,0,1, 0,0,0,0,0,0,0],
 	[0,1,0,0,0,0,0, 0,1,0,0,0,0,0],
 	[0,0,0,0,0,0,0, 0,0,0,0,0,0,0],
 	[0,0,0,0,0,0,0, 0,0,0,1,0,0,0],
 	[0,0,0,0,0,0,0, 1,0,0,0,0,0,0]
 	];//preference matin	
 	
 	
 	
 	
 	
 	
pa = [
	[0,0,0,0,0,0,1, 0,0,0,0,1,1,0],
	[1,0,0,0,0,0,0, 0,1,0,0,0,0,0],
	[0,0,0,0,0,0,0, 0,0,0,0,0,0,1],
	[0,1,0,0,0,0,0, 0,0,0,0,0,0,0],
	[0,0,0,0,0,0,0, 0,0,0,0,0,0,0],
	[0,0,0,0,0,0,0, 0,0,0,0,0,0,1],
	[0,0,0,0,0,0,0, 0,0,0,0,0,0,0],
	[0,0,0,0,0,0,0, 0,0,0,0,0,0,0],
	[0,0,0,0,0,1,0, 1,0,0,0,0,0,0],
	[0,0,0,0,0,0,0, 0,0,0,0,0,0,0],
	[0,0,0,0,0,0,0, 0,0,0,0,0,0,0]	 		
 	]; //preferences aprem

 	
 	
 	
